iter	Passed	Remaining
649	19484	70444
650	19511	70403
651	19538	70363
652	19568	70332
653	19596	70294
654	19624	70260
655	19653	70226
656	19683	70195
657	19709	70151
658	19736	70110
659	19763	70070
660	19791	70035
661	19819	69997
662	19848	69962
663	19877	69931
664	19906	69898
665	19934	69860
666	19963	69826
667	19992	69795
668	20021	69762
669	20053	69737
670	20083	69706
671	20110	69669
672	20140	69639
673	20168	69601
674	20196	69565
675	20225	69531
676	20267	69545
677	20298	69517
678	20331	69496
679	20357	69455
680	20384	69413
681	20410	69372
682	20437	69332
683	20471	69314
684	20500	69282
685	20528	69247
686	20570	69256
687	20597	69217
688	20626	69183
689	20655	69151
690	20683	69115
691	20713	69083
692	20741	69048
693	20770	69014
694	20799	68983
695	20828	68951
696	20857	68916
697	20887	68885
698	20914	68847
699	20944	68816
700	20972	68782
701	21002	68750
702	21031	68717
703	21060	68687
704	21089	68651
705	21117	68616
706	21145	68582
707	21174	68548
708	21202	68511
709	21231	68479
710	21260	68446
711	21288	68411
712	21322	68392
713	21350	68356
714	21376	68314
715	21403	68276
716	21431	68240
717	21459	68203
718	21487	68169
719	21516	68134
720	21544	68099
721	21574	68068
722	21617	68082
723	21645	68045
724	21673	68011
725	21717	68022
726	21746	67989
727	21773	67952
728	21800	67914
729	21827	67875
730	21866	67874
731	21895	67840
732	21923	67803
733	21960	67797
734	21989	67762
735	22017	67726
736	22047	67697
737	22075	67660
738	22115	67661
739	22142	67624
740	22171	67590
741	22199	67557
742	22228	67524
743	22260	67499
744	22292	67475
745	22325	67456
746	22351	67413
747	22378	67374
748	22406	67338
749	22433	67301
750	22460	67262
751	22489	67228
752	22518	67196
753	22548	67168
754	22579	67141
755	22609	67109
756	22637	67076
757	22665	67040
758	22692	67001
759	22722	66971
760	22771	66998
761	22799	66962
762	22827	66925
763	22855	66890
764	22884	66857
765	22912	66822
766	22941	66790
767	22969	66756
768	22998	66721
769	23027	66689
770	23056	66656
771	23084	66621
772	23113	66588
773	23141	66554
774	23170	66521
775	23198	66485
776	23228	66455
777	23255	66419
778	23287	66394
779	23317	66365
780	23346	66334
