iter	Passed	Remaining
668	42216	20887
669	42280	20824
670	42339	20759
671	42402	20696
672	42466	20633
673	42531	20571
674	42592	20507
675	42656	20444
676	42719	20381
677	42783	20318
678	42850	20257
679	42912	20194
680	42974	20130
681	43036	20066
682	43098	20003
683	43163	19940
684	43225	19877
685	43285	19812
686	43346	19748
687	43410	19686
688	43470	19621
689	43531	19557
690	43591	19493
691	43654	19430
692	43715	19366
693	43777	19302
694	43839	19238
695	43897	19173
696	43960	19110
697	44022	19046
698	44083	18983
699	44145	18919
700	44206	18855
701	44265	18790
702	44326	18726
703	44387	18662
704	44448	18599
705	44506	18533
706	44569	18470
707	44630	18407
708	44693	18343
709	44756	18280
710	44819	18217
711	44883	18155
712	44956	18096
713	45020	18033
714	45083	17970
715	45143	17906
716	45206	17842
717	45265	17778
718	45330	17716
719	45386	17650
720	45451	17588
721	45512	17524
722	45574	17460
723	45635	17396
724	45697	17333
725	45761	17270
726	45820	17206
727	45886	17144
728	45947	17080
729	46011	17017
730	46072	16954
731	46134	16890
732	46200	16828
733	46264	16766
734	46331	16704
735	46389	16639
736	46453	16577
737	46517	16514
738	46576	16449
739	46649	16390
740	46709	16326
741	46770	16262
742	46829	16198
743	46894	16135
744	46954	16071
745	47032	16013
746	47096	15951
747	47160	15888
748	47228	15826
749	47290	15763
750	47353	15700
751	47417	15637
752	47482	15575
753	47543	15511
754	47605	15448
755	47666	15384
756	47725	15320
757	47788	15257
758	47850	15193
759	47911	15129
760	47972	15066
761	48032	15002
762	48094	14939
763	48156	14875
764	48227	14814
765	48288	14751
766	48351	14688
767	48413	14624
768	48474	14561
769	48537	14498
770	48599	14435
771	48753	14398
772	48814	14335
773	48877	14271
774	48936	14207
775	48998	14143
776	49061	14080
777	49122	14016
778	49186	13954
779	49249	13890
780	49322	13830
781	49387	13767
782	49451	13704
783	49514	13641
784	49575	13577
785	49645	13516
786	49707	13453
787	49770	13389
788	49832	13326
789	49891	13262
790	49955	13199
791	50016	13135
792	50075	13071
793	50138	13008
794	50198	12944
795	50263	12881
796	50364	12828
797	50467	12775
798	50562	12719
799	50652	12663
800	50719	12600
801	50781	12537
802	50842	12473
803	50904	12409
804	50967	12346
805	51026	12281
806	51091	12218
807	51154	12155
808	51213	12091
809	51279	12028
810	51342	11965
811	51455	11913
812	51514	11849
813	51573	11784
